LoggerLight version 1.3.0, 7/23/2018 6:33:54 AM, rapid sampling mode. Time is number of seconds past midnight of 7/23/2018, Warning: probe Edz305nm, calibrated 4/5/2012 This is identified by tag a
 Probe S/N  BIC2104P-1011   , calibrated 4/5/2012 with 2 picAD channels and 6 high resolution AD channels. This is identified by tag "a"
 Probe S/N  BIC2104R-1011   , calibrated 4/30/2018 with 2 picAD channels and 4 high resolution AD channels. This is identified by tag "b"
ScaleFactor,0.264714,0.069044,0.032916,0.000521,9.691656E-02,6.155094E-03,0.23,0.01,0.148964,5.208686E-02,2.334893E-02,5.0338E-04,0.23,0.01,
Offset+FO,0.1933315,0.1934529,0.1924036,0.1938019,0.4814327,5.634666E-02,0,0.965,0.1939131,0.1940993,0.1930202,0.1932678,0,0.965,
Units,µWatts/cm²/nm,µWatts/cm²/nm,µWatts/cm²/nm,µEinsteins/m²/s,°C,meters,v.,°C,µWatts/cm²/nm,µWatts/cm²/nm,µWatts/cm²/nm,µEinsteins/m²/s,v.,°C,
Immersion,0.623,0.635,0.641,0.662,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
Cal Date,4/5/2012,4/5/2012,4/5/2012,4/5/2012,4/5/2012,4/5/2012,4/5/2012,4/5/2012,4/30/2018,4/30/2018,4/30/2018,4/30/2018,4/30/2018,4/30/2018,
Tag Address,a,a,a,a,a,a,a,a,b,b,b,b,b,b,
Time,Edz305nm,Edz320nm,Edz380nm,EdzPAR,WaterTemp,Depth,Vin_a,uItemp_a,Ed0305nm,Ed0320nm,Ed0380nm,Ed0PAR,Vin_b,uItemp_b,
23647.15,1.115558E-02,1.184943,6.247915,132.2847,23.12208,7.747033E-03,9.638247,19.71094,5.78915E-03,0.8195349,4.669463,94.8051,9.595788,20.19922,
23647.46,1.196335E-02,1.185616,6.252916,132.276,23.08486,-3.181125E-02,9.638247,19.71094,6.057235E-03,0.8196436,4.671084,94.74413,9.595788,20.19922,
23647.76,1.182782E-02,1.181129,6.235909,131.7948,23.10788,-0.0360237,9.638247,19.71094,5.661109E-03,0.8190085,4.670101,94.71097,9.595788,20.19922,
23648.06,1.170855E-02,1.185697,6.246799,132.2458,23.15984,-4.696639E-02,9.638247,19.71094,6.147264E-03,0.8198782,4.67065,94.79681,9.595788,20.19922,
23648.37,0.0111122,1.181925,6.225697,131.6142,23.13702,-3.573319E-02,9.638247,19.71094,5.393023E-03,0.8218006,4.680823,94.76425,9.595788,20.19922,
23648.66,1.124051E-02,1.184297,6.251984,132.3495,23.14155,-8.521736E-03,9.595788,19.71094,6.379338E-03,0.8244498,4.694787,95.08277,9.595788,20.19922,
23648.94,1.190011E-02,1.179722,6.230881,131.7585,23.11766,-2.217588E-02,9.638247,19.71094,6.127258E-03,0.8251764,4.698373,95.15086,9.595788,20.19922,
23649.23,1.176999E-02,1.178268,6.221064,131.6401,23.12834,-5.713437E-03,9.638247,19.71094,6.035228E-03,0.8249419,4.701539,95.24026,9.595788,20.19922,
23649.53,1.162542E-02,1.18151,6.233155,131.7991,23.11173,-2.653359E-02,9.638247,19.71094,5.847168E-03,0.8255712,4.700186,95.22486,9.595788,20.19922,
23649.84,1.163085E-02,1.176731,6.210682,131.1251,23.11154,-4.115611E-02,9.638247,19.71094,5.579082E-03,0.8256628,4.698973,94.97739,9.595788,20.19922,
23650.13,1.186035E-02,1.181184,6.233451,131.8449,23.11811,-9.73221E-03,9.638247,19.71094,5.813157E-03,0.8269158,4.7045,95.04784,9.595788,20.19922,
23650.43,1.188565E-02,1.178907,6.216968,131.52,23.13946,-3.641105E-02,9.638247,19.71094,6.485372E-03,0.8271618,4.706798,95.07863,9.595788,20.19922,
23650.73,1.160916E-02,1.180151,6.214228,131.5545,23.13135,-3.616896E-02,9.595788,19.71094,5.531067E-03,0.8272877,4.709925,95.07922,9.595788,20.19922,
23651.04,9.809276E-03,1.001451,5.339826,112.6735,23.14507,-8.715412E-03,9.638247,19.71094,5.781147E-03,0.8288497,4.708737,95.12185,9.595788,20.19922,
23651.34,5.080064E-03,0.5734992,3.584357,85.32275,23.11773,1.113636E-02,9.638247,19.71094,5.629099E-03,0.8291759,4.714188,95.08337,9.595788,20.19922,
23651.66,6.140838E-03,0.5548468,3.370591,80.49946,23.13519,-7.166005E-03,9.638247,19.71094,6.179274E-03,0.8296851,4.714596,95.1479,9.595788,20.19922,
23651.96,6.561896E-03,0.605264,3.502009,81.01272,23.13262,2.130434E-03,9.638247,19.71094,5.663109E-03,0.8286723,4.702751,94.94482,9.595788,20.19922,
23652.26,7.071502E-03,0.6856583,3.704023,81.66424,23.1108,-3.147232E-02,9.638247,19.71094,6.515382E-03,0.8284836,4.70062,94.83056,9.595788,20.19922,
23652.55,7.718448E-03,0.6999263,3.720266,80.94965,23.14996,-3.161758E-02,9.638247,19.71094,5.76114E-03,0.8267728,4.693561,94.74827,9.595788,20.19922,
23652.85,5.627619E-03,0.5328772,3.269569,78.21223,23.12046,-1.408992E-02,9.638247,19.71094,5.891182E-03,0.827591,4.696254,94.76366,9.595788,20.19922,
23653.14,5.920371E-03,0.5078351,3.157658,76.76404,23.13642,9.683791E-05,9.638247,19.71094,5.901185E-03,0.8272305,4.694672,94.65709,9.595788,20.19922,
23653.42,5.696289E-03,0.5063805,3.12955,76.57912,23.07185,1.597825E-02,9.638247,19.71094,6.185276E-03,0.8270589,4.691813,94.68255,9.595788,20.19922,
23653.71,5.378237E-03,0.5177732,3.135397,75.56988,23.09607,-1.772134E-02,9.638247,19.71094,5.829162E-03,0.8279228,4.695335,94.72813,9.595788,20.19922,
23654.02,5.914949E-03,0.583879,3.344756,77.63935,23.09716,-1.588142E-02,9.638247,19.71094,6.407347E-03,0.8281689,4.698399,94.6938,9.595788,20.19922,
23654.32,6.867297E-03,0.6106476,3.426864,78.73241,23.16669,-1.694663E-02,9.638247,19.71094,5.751138E-03,0.829811,4.699164,94.72636,9.595788,20.19922,
23654.62,5.95832E-03,0.5719018,3.338499,78.2779,23.13683,4.502963E-03,9.595788,19.71094,5.935196E-03,0.8299311,4.703224,94.82405,9.595788,20.19922,
23654.91,6.348656E-03,0.5758443,3.310786,76.50308,23.1526,-2.212746E-02,9.638247,19.71094,6.307315E-03,0.8301028,4.70247,94.84892,9.595788,20.19922,
23655.22,6.243844E-03,0.5958834,3.331521,75.90514,23.1103,-1.084585E-02,9.638247,19.71094,5.823161E-03,0.8299369,4.703645,94.73997,9.595788,20.19922,
23655.52,6.65948E-03,0.6415492,3.511938,78.66933,23.12563,8.473317E-03,9.595788,19.71094,6.271304E-03,0.8307779,4.709108,94.72636,9.595788,20.19922,
23655.82,7.313654E-03,0.6462598,3.566983,80.85546,23.12251,9.538534E-03,9.638247,19.71094,6.389341E-03,0.8312071,4.710576,94.81043,9.595788,20.19922,
