LoggerLight version 1.3.0, 7/18/2018 12:01:55 PM, rapid sampling mode. Time is number of seconds past midnight of 7/18/2018, Warning: probe Edz305nm, calibrated 4/5/2012 This is identified by tag a
 Probe S/N  BIC2104P-1011   , calibrated 4/5/2012 with 2 picAD channels and 6 high resolution AD channels. This is identified by tag "a"
 Probe S/N  BIC2104R-1011   , calibrated 4/30/2018 with 2 picAD channels and 4 high resolution AD channels. This is identified by tag "b"
ScaleFactor,0.264714,0.069044,0.032916,0.000521,9.691656E-02,6.155094E-03,0.23,0.01,0.148964,5.208686E-02,2.334893E-02,5.0338E-04,0.23,0.01,
Offset+FO,0.1933315,0.1934529,0.1924036,0.1938019,0.4814327,5.612553E-02,0,0.965,0.1939131,0.1940993,0.1930202,0.1932678,0,0.965,
Units,µWatts/cm²/nm,µWatts/cm²/nm,µWatts/cm²/nm,µEinsteins/m²/s,°C,meters,v.,°C,µWatts/cm²/nm,µWatts/cm²/nm,µWatts/cm²/nm,µEinsteins/m²/s,v.,°C,
Immersion,0.623,0.635,0.641,0.662,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
Cal Date,4/5/2012,4/5/2012,4/5/2012,4/5/2012,4/5/2012,4/5/2012,4/5/2012,4/5/2012,4/30/2018,4/30/2018,4/30/2018,4/30/2018,4/30/2018,4/30/2018,
Tag Address,a,a,a,a,a,a,a,a,b,b,b,b,b,b,
Time,Edz305nm,Edz320nm,Edz380nm,EdzPAR,WaterTemp,Depth,Vin_a,uItemp_a,Ed0305nm,Ed0320nm,Ed0380nm,Ed0PAR,Vin_b,uItemp_b,
43329.89,4.52364,32.2469,89.78971,2246.783,23.82848,5.277666E-03,9.617018,20.6875,3.760049,26.969,74.04782,1789.778,9.595788,21.17579,
43330.18,4.494676,31.97233,89.02115,2233.778,23.81601,-2.793774E-02,9.595788,20.6875,3.761301,26.97502,74.07932,1789.684,9.595788,21.17579,
43330.47,4.438443,31.65552,88.21341,2211.674,23.83273,-4.841895E-03,9.617018,20.6875,3.762132,26.98936,74.1263,1791.476,9.595788,21.17579,
43330.78,4.585783,32.59252,90.48746,2258.845,23.8109,0.0140415,9.595788,20.6875,3.760861,26.96922,74.0383,1790.303,9.595788,21.17579,
43331.06,4.446791,31.64912,88.1608,2213.939,23.82376,-4.938733E-03,9.617018,20.6875,3.762614,26.9843,74.03587,1789.594,9.595788,21.17579,
43331.37,4.528962,32.29642,89.94549,2249.308,23.8283,-1.539723E-02,9.617018,20.6875,3.76815,27.02203,74.10109,1788.711,9.595788,21.17579,
43331.67,4.467746,31.78617,88.60141,2225.514,23.83374,2.619465E-02,9.617018,20.6875,3.771853,27.04805,74.11462,1787.335,9.595788,21.17579,
43331.97,4.517816,32.17162,89.72179,2249.864,23.82767,2.808299E-03,9.617018,20.6875,3.771245,27.04198,74.09908,1786.624,9.595788,21.17579,
43332.28,3.707004,27.35035,77.67119,1963.88,23.7815,8.957506E-03,9.617018,20.6875,3.761986,26.97936,73.96941,1786.292,9.595788,21.17579,
43332.56,3.147356,23.31567,69.63771,1845.34,23.80412,7.166005E-03,9.638247,20.6875,3.75812,26.94195,73.87005,1783.733,9.595788,21.17579,
43332.85,2.978602,22.24063,68.30147,1852.377,23.80525,2.391896E-02,9.638247,20.6875,3.760367,26.96205,73.90836,1783.704,9.595788,21.17579,
43333.14,2.637647,20.07409,63.80265,1750.926,23.78314,4.488437E-02,9.595788,20.6875,3.76286,26.98153,73.98553,1785.042,9.595788,21.17579,
43333.44,2.887872,21.23123,64.19971,1729.653,23.80361,0.0676897,9.617018,20.6875,3.761935,26.97519,73.99084,1786.187,9.595788,21.17579,
43333.75,2.908157,21.77636,66.94582,1802.315,23.82202,3.466797E-02,9.617018,20.6875,3.753609,26.92491,73.90643,1785.266,9.595788,21.17579,
43334.04,3.078252,22.3042,64.44669,1693.827,23.80626,4.285077E-02,9.617018,20.6875,3.752945,26.91117,73.89375,1785.229,9.595788,21.17579,
43334.34,2.941537,21.61666,64.55744,1735.823,23.83811,0.0620731,9.617018,20.6875,3.758803,26.9582,74.01511,1788.349,9.595788,21.17579,
43334.64,2.98844,21.9051,65.77551,1764.598,23.79497,5.606915E-02,9.638247,20.6875,3.7629,26.98647,74.08233,1790.471,9.595788,21.17579,
43334.95,3.057763,22.35355,66.34954,1768.541,23.7871,5.514919E-02,9.617018,20.6875,3.764364,27.00157,74.10715,1789.872,9.595788,21.17579,
43335.25,3.101151,22.42415,65.25605,1724.599,23.79752,4.837054E-02,9.617018,20.6875,3.76869,27.03035,74.17645,1791.419,9.595788,21.17579,
43335.55,2.932085,21.75532,66.15018,1788.216,23.78779,0.0638646,9.617018,20.6875,3.770572,27.04003,74.19241,1791.239,9.595788,21.17579,
43335.84,3.02616,22.13503,65.91686,1754.264,23.75978,6.187942E-02,9.617018,20.6875,3.765587,27.01056,74.106,1787.7,9.595788,21.17579,
43336.14,3.441485,24.54378,69.77184,1817.748,23.779,5.301876E-02,9.617018,20.6875,3.767297,27.02428,74.14515,1787.908,9.595788,21.17579,
43336.45,2.967414,22.11662,65.7696,1735.987,23.80928,5.815116E-02,9.617018,20.6875,3.767499,27.01579,74.08299,1785.655,9.595788,21.17579,
43336.74,3.094239,22.52678,66.19782,1753.059,23.7958,5.297033E-02,9.617018,20.6875,3.765157,27.00778,74.06955,1785.425,9.595788,21.17579,
43337.04,3.019078,21.98788,64.74863,1727.559,23.81627,3.093971E-02,9.617018,20.6875,3.766627,27.01129,74.07314,1785.521,9.595788,21.17579,
43337.34,2.852563,21.33476,65.27171,1758.857,23.76698,5.703753E-02,9.617018,20.6875,3.766391,27.01207,74.07653,1784.364,9.595788,21.17579,
43337.61,2.935382,21.49603,64.05109,1709.374,23.74161,4.885472E-02,9.617018,20.6875,3.769834,27.03663,74.14192,1785.616,9.595788,21.17579,
43337.91,2.857195,21.40919,65.60635,1771.291,23.79442,6.376776E-02,9.617018,20.6875,3.769854,27.03686,74.12719,1785.391,9.595788,21.17579,
43338.21,2.713295,20.43295,63.49589,1722.1,23.78391,5.684385E-02,9.617018,20.6875,3.767183,27.01386,74.0625,1783.528,9.595788,21.17579,
43338.5,2.662878,19.9857,61.87798,1682.058,23.7595,5.495551E-02,9.617018,20.6875,3.771967,27.04773,74.14352,1785.179,9.595788,21.17579,
43338.79,2.314454,18.18556,60.93348,1716.552,23.79832,8.294167E-02,9.617018,20.6875,3.77535,27.0662,74.16032,1785.318,9.595788,21.17579,
43339.09,2.609055,19.64349,62.89708,1741.202,23.8188,8.739621E-02,9.595788,20.6875,3.780119,27.09657,74.22475,1785.597,9.595788,21.17579,
43339.38,2.344671,18.53044,61.29552,1686.423,23.80157,8.115017E-02,9.617018,20.6875,3.779991,27.09963,74.17676,1783.55,9.595788,21.17579,
43339.68,2.360205,18.17548,59.71531,1664.46,23.7967,9.088238E-02,9.617018,20.6875,3.781198,27.10426,74.23746,1784.502,9.595788,21.17579,
43339.97,2.525185,19.16758,61.69761,1715.476,23.80752,0.0768893,9.617018,20.6875,3.781518,27.11035,74.25443,1788.546,9.595788,21.17579,
43340.28,2.329921,18.37284,61.68604,1727.242,23.82876,6.778654E-02,9.617018,20.6875,3.776428,27.07187,74.14866,1783.55,9.595788,21.17579,
43340.58,2.456674,18.60658,59.32642,1637.077,23.76602,4.372232E-02,9.617018,20.6875,3.778513,27.0899,74.17584,1783.032,9.595788,21.17579,
43340.9,2.425724,18.83782,62.91042,1779.349,23.7984,3.616896E-02,9.617018,20.6875,3.775166,27.06541,74.13486,1782.762,9.595788,21.17579,
43341.2,2.420649,18.45828,59.72662,1658.807,23.80848,0.089914,9.617018,20.6875,3.776428,27.07119,74.15076,1782.29,9.595788,21.17579,
43341.49,2.413504,18.722,62.15889,1748.97,23.79806,9.785471E-02,9.617018,20.6875,3.781072,27.11205,74.2095,1782.215,9.595788,21.17579,
43341.79,2.450139,18.78624,61.29656,1706.166,23.79945,6.473614E-02,9.617018,20.6875,3.78152,27.10678,74.16405,1782.109,9.595788,21.17579,
43342.08,2.654685,20.00476,63.32625,1741.218,23.82148,4.745058E-02,9.617018,20.6875,3.783705,27.12356,74.22243,1784.225,9.595788,21.17579,
43342.38,2.541455,19.53114,63.65243,1775.068,23.79503,7.684088E-02,9.595788,20.6875,3.785909,27.13885,74.23137,1783.106,9.595788,21.17579,
43342.69,2.373371,18.27641,59.81145,1664.314,23.81631,6.638239E-02,9.617018,20.6875,3.788162,27.15349,74.28065,1782.948,9.595788,21.17579,
43342.99,2.360537,18.31054,60.63052,1698.667,23.82854,9.185076E-02,9.617018,20.6875,3.793079,27.18792,74.39558,1785.625,9.595788,21.17579,
43343.28,2.395203,18.39324,60.29068,1685.453,23.81631,0.1110731,9.595788,20.6875,3.789914,27.16504,74.30907,1783.532,9.595788,21.66407,
43343.58,2.491464,19.3278,65.29657,1859.596,23.8012,0.0641067,9.617018,20.6875,3.784405,27.12785,74.19738,1781.102,9.595788,21.17579,
43343.89,2.468718,18.84825,60.85623,1686.859,23.79617,5.766698E-02,9.617018,20.6875,3.780399,27.09463,74.07896,1777.355,9.595788,21.17579,
43344.19,2.426065,18.88134,63.07704,1774.329,23.83315,6.793179E-02,9.617018,20.6875,3.778893,27.08471,74.0368,1775.003,9.595788,21.17579,
43344.48,2.475605,18.97905,61.89388,1723.292,23.82003,5.771539E-02,9.617018,20.6875,3.778269,27.08138,74.02574,1774.409,9.595788,21.17579,
43344.77,2.505623,19.07649,61.45307,1702.202,23.80764,3.200493E-02,9.595788,20.6875,3.777637,27.07294,74.03557,1775.766,9.595788,21.17579,
43345.05,2.435775,18.82404,61.6076,1713.713,23.82584,5.330927E-02,9.617018,20.6875,3.778995,27.08488,74.08491,1777.212,9.595788,21.17579,
43345.34,2.431401,18.72954,61.79925,1733.389,23.82753,7.606618E-02,9.617018,20.6875,3.779109,27.08665,74.09707,1778.022,9.595788,21.17579,
43345.64,2.301006,17.87417,59.25935,1659.642,23.80677,8.294167E-02,9.595788,20.6875,3.781714,27.09927,74.15182,1779.278,9.595788,21.17579,
43345.93,2.293396,17.87549,60.04227,1696.169,23.80108,9.819364E-02,9.617018,20.6875,3.780734,27.09382,74.12903,1779.445,9.595788,21.17579,
43346.22,2.349216,18.28238,61.20448,1719.265,23.79912,8.027863E-02,9.617018,20.6875,3.782112,27.10746,74.12865,1778.698,9.595788,21.66407,
43346.52,2.603229,19.56119,61.69639,1691.165,23.78584,8.850985E-02,9.617018,20.6875,3.785937,27.12486,74.13882,1778.028,9.595788,21.17579,
43346.82,2.709061,20.50967,66.42603,1863.819,23.75815,0.0942717,9.617018,20.6875,3.787834,27.14492,74.21449,1779.913,9.595788,21.17579,
43347.11,2.547308,19.42886,62.93491,1747.062,23.83418,0.107248,9.617018,20.6875,3.78694,27.12992,74.13749,1778.027,9.595788,21.17579,
43347.41,2.482143,19.1894,64.12917,1824.81,23.80301,0.1077322,9.617018,20.6875,3.790331,27.15737,74.237,1780.177,9.595788,21.17579,
43347.71,2.244044,17.77304,62.27671,1805.192,23.81631,0.1294239,9.617018,20.6875,3.796425,27.19383,74.34912,1783.23,9.595788,21.17579,
43348.02,2.269598,17.73957,60.62439,1732.696,23.8187,9.858099E-02,9.617018,20.6875,3.803883,27.24456,74.48449,1787.437,9.595788,21.17579,
43348.31,2.118507,17.13362,63.08326,1886.836,23.77555,0.1148013,9.617018,20.6875,3.806654,27.26972,74.56629,1790.053,9.595788,21.17579,
43348.61,1.816703,15.05767,57.4831,1730.879,23.81126,0.1137361,9.617018,20.6875,3.804697,27.25141,74.52753,1789.183,9.595788,21.17579,
43348.9,1.742078,14.47071,55.07162,1657.521,23.79914,0.112913,9.617018,20.6875,3.798373,27.20747,74.41238,1786.793,9.595788,21.17579,
43349.17,1.443686,12.8174,54.03417,1688.049,23.80392,0.1662707,9.595788,20.6875,3.790903,27.16134,74.29427,1783.903,9.595788,21.17579,
43349.47,1.358007,12.10675,52.41415,1662.293,23.81468,0.1773102,9.617018,20.6875,3.788348,27.13103,74.21212,1781.356,9.595788,21.17579,
43349.78,1.239668,11.31713,51.35814,1665.239,23.78692,0.1937727,9.617018,20.6875,3.767043,26.97353,73.87592,1776.442,9.595788,21.17579,
43350.06,1.154929,10.63528,49.54319,1627.533,23.72994,0.1784723,9.617018,20.6875,3.767101,26.97811,73.90213,1776.457,9.595788,21.17579,
43350.35,1.259529,11.32909,51.44332,1685.413,23.76321,0.1980335,9.617018,20.6875,3.773103,27.02813,74.00232,1777.748,9.595788,21.17579,
43350.64,1.067886,10.03196,47.17034,1544.211,23.77046,0.1614288,9.617018,20.6875,3.773805,27.03133,74.02087,1777.86,9.595788,21.17579,
43350.93,0.9621521,9.305246,47.42025,1621.022,23.80654,0.1623488,9.638247,20.6875,3.778543,27.07788,74.1365,1780.257,9.595788,21.17579,
43351.23,0.9411246,9.046159,45.28438,1527.432,23.77089,0.1737756,9.617018,20.6875,3.78152,27.09607,74.1402,1779.606,9.595788,21.17579,
43351.52,0.8441459,8.496266,45.21122,1553.287,23.76964,0.2005029,9.617018,20.6875,3.78161,27.09561,74.13796,1779.51,9.595788,21.17579,
43351.8,0.9531093,9.337779,52.26082,1929.906,23.80894,0.2245187,9.617018,20.6875,3.780882,27.08611,74.10462,1778.294,9.595788,21.17579,
43352.09,0.6780614,7.060345,39.80918,1386.037,23.83667,0.23091,9.617018,20.6875,3.779087,27.07004,74.04442,1776.933,9.595788,21.17579,
43352.4,0.570034,6.128793,36.13532,1270.967,23.77962,0.2478082,9.617018,20.6875,3.780914,27.08401,74.1138,1778.529,9.595788,21.17579,
43352.7,0.5543104,6.084731,39.74966,1542.877,23.77058,0.2645127,9.617018,20.6875,3.780982,27.08541,74.1114,1778.798,9.595788,21.17579,
43353.02,0.3824666,4.535012,33.74231,1375.937,23.78073,0.3077509,9.617018,20.6875,3.783492,27.10681,74.17442,1780.159,9.595788,21.17579,
43353.29,0.3696669,4.476886,35.36292,1454.391,23.76297,0.2991807,9.617018,20.6875,3.786421,27.12772,74.22569,1782.148,9.595788,21.17579,
43353.59,0.330747,4.034008,32.48407,1369.49,23.84642,0.3123507,9.617018,20.6875,3.786861,27.11537,74.19147,1782.068,9.595788,21.17579,
43353.9,0.2680456,3.407881,29.88458,1285.007,23.80734,0.3350107,9.595788,20.6875,3.783545,27.09842,74.13923,1779.346,9.595788,21.17579,
43354.2,0.3377839,4.293598,40.04392,1871.038,23.76731,0.3303625,9.617018,20.6875,3.781838,27.09095,74.10779,1778.964,9.595788,21.17579,
43354.5,0.2925862,3.699114,34.86646,1626.609,23.80896,0.3457597,9.595788,20.6875,3.778063,27.06429,74.07008,1777.565,9.595788,21.17579,
43354.8,0.2380891,3.113399,28.95818,1301.715,23.78131,0.3598497,9.617018,20.6875,3.780581,27.07885,74.1195,1779.607,9.595788,21.17579,
43355.11,0.2007361,2.795024,28.62496,1318.359,23.75255,0.3588329,9.638247,20.6875,3.772463,27.0153,73.94524,1777.158,9.595788,21.17579,
43355.41,0.1650384,2.460328,28.42911,1401.74,23.78188,0.3787815,9.617018,20.6875,3.767571,26.98375,73.87141,1773.978,9.595788,21.17579,
43355.71,0.1385678,2.113178,26.52349,1355.468,23.8335,0.409237,9.617018,20.6875,3.772165,27.02149,73.9637,1775.829,9.595788,21.17579,
43356,0.1016666,1.606315,20.95602,1028.082,23.80178,0.4239079,9.617018,20.6875,3.772359,27.01531,73.95135,1776.318,9.595788,21.17579,
43356.28,0.1121768,1.791622,26.59084,1545.721,23.83736,0.4290888,9.617018,20.6875,3.769472,27.00102,73.92807,1776.429,9.595788,21.17579,
43356.58,8.875298E-02,1.463329,22.11703,1219.924,23.80197,0.450151,9.617018,20.6875,3.76311,26.94775,73.75114,1771.86,9.595788,21.17579,
43356.86,7.576346E-02,1.308067,21.40007,1235.213,23.7827,0.4645315,9.617018,20.6875,3.760853,26.92539,73.69888,1769.88,9.595788,21.17579,
43357.17,6.217578E-02,1.127483,19.44398,1122.035,23.78661,0.4786214,9.617018,20.6875,3.764186,26.94504,73.78217,1772.254,9.595788,21.17579,
43357.45,6.408228E-02,1.221724,23.55109,1494.974,23.79124,0.5153714,9.595788,20.6875,3.765837,26.9612,73.86134,1775.96,9.595788,21.17579,
