LoggerLight version 1.3.0, 7/26/2018 11:43:39 AM, rapid sampling mode. Time is number of seconds past midnight of 7/26/2018, Warning: probe Edz305nm, calibrated 4/5/2012 This is identified by tag a
 Probe S/N  BIC2104P-1011   , calibrated 4/5/2012 with 2 picAD channels and 6 high resolution AD channels. This is identified by tag "a"
 Probe S/N  BIC2104R-1011   , calibrated 4/30/2018 with 2 picAD channels and 4 high resolution AD channels. This is identified by tag "b"
ScaleFactor,0.264714,0.069044,0.032916,0.000521,9.691656E-02,6.155094E-03,0.23,0.01,0.148964,5.208686E-02,2.334893E-02,5.0338E-04,0.23,0.01,
Offset+FO,0.1933315,0.1934529,0.1924036,0.1938019,0.4814327,0.0553608,0,0.965,0.1939131,0.1940993,0.1930202,0.1932678,0,0.965,
Units,µWatts/cm²/nm,µWatts/cm²/nm,µWatts/cm²/nm,µEinsteins/m²/s,°C,meters,v.,°C,µWatts/cm²/nm,µWatts/cm²/nm,µWatts/cm²/nm,µEinsteins/m²/s,v.,°C,
Immersion,0.623,0.635,0.641,0.662,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
Cal Date,4/5/2012,4/5/2012,4/5/2012,4/5/2012,4/5/2012,4/5/2012,4/5/2012,4/5/2012,4/30/2018,4/30/2018,4/30/2018,4/30/2018,4/30/2018,4/30/2018,
Tag Address,a,a,a,a,a,a,a,a,b,b,b,b,b,b,
Time,Edz305nm,Edz320nm,Edz380nm,EdzPAR,WaterTemp,Depth,Vin_a,uItemp_a,Ed0305nm,Ed0320nm,Ed0380nm,Ed0PAR,Vin_b,uItemp_b,
42232.72,3.098707,18.7003,43.92512,944.3627,21.6423,-0.2474693,9.617018,19.22266,3.002807,18.37887,41.20716,789.1233,9.595788,21.17579,
42233,3.090988,18.71798,43.73695,931.8188,21.64618,-0.3065888,9.617018,19.22266,2.996769,18.32782,41.07328,783.027,9.595788,21.17579,
42233.29,3.219888,19.60415,46.38417,993.865,21.64617,-0.2971471,9.617018,19.22266,3.012568,18.42561,41.43612,792.2729,9.595788,21.17579,
42233.59,3.178744,19.30744,45.46231,972.7132,21.6104,-0.2715819,9.617018,19.22266,3.01798,18.46729,41.54834,797.416,9.595788,21.17579,
42233.9,3.190618,19.34454,45.40802,965.5871,21.61773,-0.2383665,9.617018,19.22266,3.004816,18.38245,41.24707,789.8432,9.595788,21.17579,
42234.2,3.249178,19.6552,46.17521,983.6498,21.61089,-0.2847035,9.617018,19.22266,3.006266,18.38244,41.29814,789.2606,9.595788,21.17579,
42234.49,3.162094,19.16454,45.03799,960.3724,21.6465,-0.2697904,9.617018,19.22266,3.025202,18.50177,41.71706,800.5521,9.595788,21.17579,
42234.79,3.241859,19.70654,46.55097,994.9417,21.61529,-0.2533764,9.617018,19.22266,3.028373,18.52975,41.76086,803.7231,9.595788,21.17579,
42235.08,3.157463,19.15711,44.87717,955.6415,21.63768,-0.2678052,9.617018,19.22266,3.013869,18.43747,41.41295,794.3315,9.595788,21.17579,
42235.4,3.24552,19.6966,46.44128,992.0971,21.65945,-0.2549258,9.617018,19.22266,3.009309,18.39922,41.30654,789.6253,9.595788,21.17579,
42235.69,3.241362,19.6043,46.17217,988.1223,21.59099,-0.2494545,9.617018,19.22266,3.024016,18.49533,41.65181,797.9572,9.595788,21.17579,
42235.99,3.228092,19.58576,46.13581,983.8944,21.59387,-0.3050394,9.617018,19.22266,3.033971,18.56076,41.83048,804.0381,9.595788,21.17579,
42236.28,3.211035,19.40718,45.5386,970.7914,21.60611,-0.2800552,9.617018,19.22266,3.025876,18.51226,41.63419,799.1252,9.595788,21.17579,
42236.57,3.185645,19.31317,45.42457,968.7125,21.5976,-0.3041679,9.617018,19.22266,3.025532,18.50251,41.61508,797.5102,9.595788,21.17579,
42236.86,3.207,19.45864,45.98464,986.2308,21.61718,-0.275988,9.617018,19.22266,3.030732,18.53638,41.72888,800.4692,9.595788,21.17579,
42237.14,3.193025,19.40006,45.88689,984.5917,21.63091,-0.2976313,9.617018,19.22266,3.028169,18.52223,41.65702,799.4828,9.595788,21.17579,
42237.45,3.210162,19.48389,46.0292,985.8818,21.62044,-0.2730829,9.617018,19.22266,3.021443,18.47903,41.52489,795.5126,9.595788,21.17579,
42237.75,3.152509,19.08056,44.80292,957.5641,21.6086,-0.2772469,9.617018,19.22266,3.029812,18.52675,41.72098,799.905,9.595788,21.17579,
42238.05,3.24091,19.68494,46.48783,994.2944,21.63257,-0.296324,9.617018,19.22266,3.035435,18.56668,41.83381,803.9943,9.595788,21.17579,
42238.36,3.160858,19.15241,45.03542,964.4025,21.61466,-0.2882864,9.617018,19.22266,3.030804,18.53808,41.72347,801.5562,9.595788,21.17579,
42238.68,3.176479,19.30757,45.51155,970.9479,21.60368,-0.2713882,9.617018,19.22266,3.029622,18.52745,41.71359,800.8232,9.595788,21.17579,
42238.98,3.242305,19.60791,46.15124,986.8435,21.6196,-0.2955009,9.617018,19.22266,3.031922,18.54208,41.74826,801.8031,9.595788,21.17579,
42239.27,3.194144,19.37251,45.74132,979.6578,21.65601,-0.3466797,9.617018,19.22266,3.028311,18.52039,41.67857,800.0169,9.595788,21.17579,
42239.57,3.190809,19.31229,45.6251,980.8951,21.64528,-0.3391263,9.617018,19.22266,3.027485,18.51137,41.66409,799.6232,9.595788,21.17579,
42239.86,3.18723,19.37789,45.89328,983.8278,21.6382,-0.3350592,9.617018,19.22266,3.032308,18.5423,41.78572,802.7883,9.595788,21.17579,
42240.15,3.15699,19.12231,44.98088,961.0325,21.64661,-0.3093487,9.617018,19.22266,3.041347,18.59083,41.96148,807.556,9.595788,21.17579,
