LoggerLight version 1.3.0, 4/29/2024 3:29:27 PM, rapid sampling mode. Time is number of seconds past midnight of 4/29/2024, Warning: probe Edz305nm, calibrated 4/5/2012 This is identified by tag a
 Probe S/N  BIC2104P-1011   , calibrated 4/5/2012 with 2 picAD channels and 6 high resolution AD channels. This is identified by tag "a"
 Probe S/N  BIC2104R-1011   , calibrated 4/30/2018 with 2 picAD channels and 4 high resolution AD channels. This is identified by tag "b"
ScaleFactor,0.264714,0.069044,0.032916,0.000521,9.691656E-02,6.155094E-03,0.23,0.01,0.148964,5.208686E-02,2.334893E-02,5.0338E-04,0.23,0.01,
Offset+FO,0.1933315,0.1934529,0.1924036,0.1938019,0.4814327,5.412847E-02,0,0.965,0.1939131,0.1940993,0.1930202,0.1932678,0,0.965,
Units,µWatts/cm²/nm,µWatts/cm²/nm,µWatts/cm²/nm,µEinsteins/m²/s,°C,meters,v.,°C,µWatts/cm²/nm,µWatts/cm²/nm,µWatts/cm²/nm,µEinsteins/m²/s,v.,°C,
Immersion,0.623,0.635,0.641,0.662,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
Cal Date,4/5/2012,4/5/2012,4/5/2012,4/5/2012,4/5/2012,4/5/2012,4/5/2012,4/5/2012,4/30/2018,4/30/2018,4/30/2018,4/30/2018,4/30/2018,4/30/2018,
Tag Address,a,a,a,a,a,a,a,a,b,b,b,b,b,b,
Time,Edz305nm,Edz320nm,Edz380nm,EdzPAR,WaterTemp,Depth,Vin_a,uItemp_a,Ed0305nm,Ed0320nm,Ed0380nm,Ed0PAR,Vin_b,uItemp_b,
55793.41,0.5463211,5.818581,20.28681,553.6045,11.56901,-0.1626393,9.617018,18.73438,1.170413,12.24802,35.99855,852.5904,9.595788,18.73438,
55793.7,0.5685558,6.068349,21.57543,598.3448,11.63137,-0.1471936,9.617018,18.73438,1.167494,12.21396,35.85287,848.259,9.595788,18.73438,
55793.98,0.5128136,5.422965,18.8751,517.4557,11.59031,-0.1527618,9.617018,18.73438,1.164982,12.1823,35.71673,844.255,9.595788,18.73438,
55794.29,0.5352309,5.702275,19.96033,546.2252,11.59762,-0.1420128,9.617018,18.73438,1.161913,12.15662,35.60355,840.6548,9.595788,18.73438,
55794.59,0.544552,5.85558,21.05348,588.7052,11.60201,-0.1623003,9.617018,18.73438,1.159344,12.13241,35.4947,837.308,9.595788,18.73438,
55794.88,0.5058418,5.418343,19.30956,535.6584,11.585,-0.1463705,9.617018,18.73438,1.157805,12.11273,35.40594,834.5011,9.595788,18.73438,
55795.16,0.4824108,5.258615,19.09014,533.0541,11.57154,-0.1660286,9.617018,18.73438,1.156995,12.09802,35.33911,832.1566,9.595788,18.73438,
55795.46,0.4604164,5.046002,18.54588,521.9385,11.563,-0.1369288,9.617018,18.73438,1.155361,12.08243,35.27031,829.805,9.595788,18.73438,
55795.76,0.4485871,4.950551,18.5072,525.6014,11.57515,-0.145499,9.617018,18.73438,1.153436,12.07086,35.21088,827.6813,9.595788,18.73438,
55796.03,0.4686153,5.132976,19.19931,547.9759,11.58675,-0.1183843,9.617018,18.73438,1.152416,12.05944,35.15667,825.6749,9.595788,18.73438,
55796.32,0.426403,4.738231,18.2845,522.6341,11.60116,-0.1070543,9.617018,18.73438,1.155203,12.05291,35.13834,824.817,9.595788,18.73438,
55796.61,0.3880777,4.418883,17.49103,511.4944,11.60952,-0.1113152,9.617018,18.73438,1.151397,12.04585,35.1012,823.2203,9.595788,18.73438,
55796.89,0.3681254,4.253704,17.41808,518.6879,11.58764,-9.717684E-02,9.617018,18.73438,1.151301,12.03891,35.07329,822.1191,9.595788,18.73438,
55797.2,0.3451208,4.044625,17.09155,518.0959,11.60005,-7.645353E-02,9.617018,18.73438,1.151941,12.02752,35.02304,820.7225,9.595788,18.73438,
55797.48,0.3374965,3.981293,17.10298,521.4719,11.56603,-0.0674476,9.617018,18.73438,1.143925,11.96751,34.84147,818.002,9.595788,18.73438,
55797.79,0.309555,3.707693,16.33072,503.0601,11.56483,-8.042388E-02,9.617018,18.73438,1.148694,11.93744,34.76401,815.9725,9.595788,18.73438,
55798.1,0.2955842,3.603494,16.39892,515.896,11.59408,-7.931025E-02,9.617018,18.73438,1.145525,11.92494,34.7213,814.3757,9.595788,18.73438,
55798.39,0.283885,3.478569,15.96324,502.1061,11.58732,-6.033002E-02,9.617018,18.73438,1.140332,11.88483,34.59728,811.7086,9.595788,18.73438,
55798.69,0.2714755,3.332062,15.40953,487.1351,11.57253,-4.532014E-02,9.617018,18.73438,1.132437,11.84366,34.48192,808.7205,9.595788,18.73438,
55798.98,0.2598341,3.241281,15.44363,496.2607,11.60751,-4.638536E-02,9.617018,18.73438,1.129516,11.81671,34.40805,806.3672,9.595788,18.73438,
55799.28,0.2180446,2.843987,14.43328,476.5294,11.59892,-2.125592E-02,9.617018,18.73438,1.13006,11.81,34.37547,804.9534,9.595788,18.73438,
55799.57,0.1751366,2.405206,13.52729,469.4145,11.588,4.730532E-02,9.617018,18.73438,1.129028,11.81545,34.39672,804.9321,9.595788,18.73438,
55799.86,0.1618742,2.266055,13.36512,475.6454,11.54333,3.399011E-02,9.617018,18.73438,1.13009,11.81989,34.40755,805.0392,9.595788,18.73438,
55800.16,0.1394859,2.023703,12.78857,471.115,11.56474,4.967785E-02,9.617018,18.73438,1.127562,11.82139,34.40244,804.5638,9.595788,18.73438,
