LoggerLight version 1.3.0, 7/9/2018 1:48:24 PM, rapid sampling mode. Time is number of seconds past midnight of 7/9/2018, Warning: probe Edz305nm, calibrated 4/5/2012 This is identified by tag a
 Probe S/N  BIC2104P-1011   , calibrated 4/5/2012 with 2 picAD channels and 6 high resolution AD channels. This is identified by tag "a"
 Probe S/N  BIC2104R-1011   , calibrated 4/30/2018 with 2 picAD channels and 4 high resolution AD channels. This is identified by tag "b"
ScaleFactor,0.264714,0.069044,0.032916,0.000521,9.691656E-02,6.155094E-03,0.23,0.01,0.148964,5.208686E-02,2.334893E-02,5.0338E-04,0.23,0.01,
Offset+FO,0.1933315,0.1934529,0.1924036,0.1938019,0.4814327,5.735726E-02,0,0.965,0.1939131,0.1940993,0.1930202,0.1932678,0,0.965,
Units,µWatts/cm²/nm,µWatts/cm²/nm,µWatts/cm²/nm,µEinsteins/m²/s,°C,meters,v.,°C,µWatts/cm²/nm,µWatts/cm²/nm,µWatts/cm²/nm,µEinsteins/m²/s,v.,°C,
Immersion,0.623,0.635,0.641,0.662,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
Cal Date,4/5/2012,4/5/2012,4/5/2012,4/5/2012,4/5/2012,4/5/2012,4/5/2012,4/5/2012,4/30/2018,4/30/2018,4/30/2018,4/30/2018,4/30/2018,4/30/2018,
Tag Address,a,a,a,a,a,a,a,a,b,b,b,b,b,b,
Time,Edz305nm,Edz320nm,Edz380nm,EdzPAR,WaterTemp,Depth,Vin_a,uItemp_a,Ed0305nm,Ed0320nm,Ed0380nm,Ed0PAR,Vin_b,uItemp_b,
49715.49,3.077453,17.19279,51.97036,1414.517,25.54876,0.1178033,9.638247,23.12891,5.494385,28.37908,71.15084,1667.972,9.617018,24.59375,
49715.79,3.039941,17.32143,54.11569,1473.169,25.5328,0.1021156,9.638247,23.12891,5.49162,28.36465,71.11842,1667.657,9.617018,24.59375,
49716.09,3.093018,17.47593,55.87266,1590.864,25.55576,0.1199822,9.638247,23.12891,5.491115,28.36566,71.11179,1667.407,9.617018,24.59375,
49716.38,3.04651,17.11122,54.3246,1510.615,25.52477,9.514324E-02,9.638247,23.12891,5.497612,28.39997,71.21722,1670.056,9.617018,24.59375,
49716.67,2.996861,16.95956,52.44774,1429.578,25.53219,0.1044397,9.638247,23.12891,5.493839,28.37149,71.1441,1668.494,9.617018,24.59375,
49716.97,2.892582,16.28903,51.19668,1428.751,25.51983,0.1131551,9.638247,23.12891,5.49112,28.36173,71.11308,1667.868,9.617018,24.59375,
49717.29,2.738247,16.02684,53.64363,1525.855,25.5711,0.1140751,9.638247,23.12891,5.486201,28.33825,71.03439,1665.59,9.617018,24.59375,
49717.58,2.194897,13.16664,47.12221,1398.054,25.57762,0.1148498,9.638247,23.12891,5.4948,28.38195,71.16482,1668.823,9.617018,24.59375,
49717.9,1.760404,10.87166,41.16399,1242.453,25.54575,0.1206116,9.638247,23.12891,5.493407,28.36975,71.16652,1669.006,9.617018,24.59375,
49718.2,1.400155,9.382908,41.7421,1355.631,25.51701,0.159831,9.638247,23.12891,5.489284,28.36052,71.11974,1667.5,9.617018,24.59375,
49718.49,0.9037445,6.491658,32.77796,1127.423,25.52503,0.2428695,9.638247,23.12891,5.490218,28.35853,71.11374,1667.805,9.617018,24.59375,
49718.79,0.6813323,5.430456,34.83015,1344.464,25.52163,0.2549742,9.638247,23.12891,5.492115,28.36275,71.12465,1667.903,9.617018,24.59375,
49719.09,0.4854793,3.951785,25.85581,967.7076,25.53681,0.3144811,9.638247,23.12891,5.492629,28.3671,71.15112,1668.532,9.617018,24.59375,
49719.38,0.4711778,3.994922,29.77127,1227.712,25.56077,0.2971956,9.638247,23.12891,5.493439,28.37518,71.16918,1669.241,9.638247,24.59375,
49719.66,0.4970267,4.198446,32.65113,1411.511,25.53329,0.3154979,9.638247,23.12891,5.493375,28.37022,71.18892,1669.841,9.617018,24.59375,
49719.95,0.3345654,3.084177,25.95707,1104.263,25.56898,0.3527805,9.638247,23.12891,5.490778,28.35403,71.16963,1669.279,9.617018,24.59375,
49720.23,0.3272972,3.022326,25.9679,1102.883,25.52229,0.3680325,9.638247,23.12891,5.489192,28.34649,71.05895,1666.526,9.617018,24.59375,
49720.53,0.3030078,2.900345,26.40361,1124.205,25.52357,0.3650305,9.638247,23.12891,5.493027,28.37259,71.14091,1668.881,9.617018,24.59375,
49720.82,0.2665674,2.699213,29.84182,1481.454,25.56216,0.4523783,9.617018,23.12891,5.481179,28.3044,71.03403,1666.18,9.617018,24.59375,
49721.14,0.2248502,2.353675,28.50134,1516.23,25.49704,0.4574623,9.617018,23.12891,5.487657,28.34852,71.14653,1669.375,9.617018,24.59375,
