LoggerLight version 1.3.0, 7/17/2018 8:45:05 AM, rapid sampling mode. Time is number of seconds past midnight of 7/17/2018, Warning: probe Edz305nm, calibrated 4/5/2012 This is identified by tag a
 Probe S/N  BIC2104P-1011   , calibrated 4/5/2012 with 2 picAD channels and 6 high resolution AD channels. This is identified by tag "a"
 Probe S/N  BIC2104R-1011   , calibrated 4/30/2018 with 2 picAD channels and 4 high resolution AD channels. This is identified by tag "b"
ScaleFactor,0.264714,0.069044,0.032916,0.000521,9.691656E-02,6.155094E-03,0.23,0.01,0.148964,5.208686E-02,2.334893E-02,5.0338E-04,0.23,0.01,
Offset+FO,0.1933315,0.1934529,0.1924036,0.1938019,0.4814327,5.478472E-02,0,0.965,0.1939131,0.1940993,0.1930202,0.1932678,0,0.965,
Units,µWatts/cm²/nm,µWatts/cm²/nm,µWatts/cm²/nm,µEinsteins/m²/s,°C,meters,v.,°C,µWatts/cm²/nm,µWatts/cm²/nm,µWatts/cm²/nm,µEinsteins/m²/s,v.,°C,
Immersion,0.623,0.635,0.641,0.662,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
Cal Date,4/5/2012,4/5/2012,4/5/2012,4/5/2012,4/5/2012,4/5/2012,4/5/2012,4/5/2012,4/30/2018,4/30/2018,4/30/2018,4/30/2018,4/30/2018,4/30/2018,
Tag Address,a,a,a,a,a,a,a,a,b,b,b,b,b,b,
Time,Edz305nm,Edz320nm,Edz380nm,EdzPAR,WaterTemp,Depth,Vin_a,uItemp_a,Ed0305nm,Ed0320nm,Ed0380nm,Ed0PAR,Vin_b,uItemp_b,
31519.98,2.439087E-02,1.044153,3.499833,67.54688,24.73784,6.149207E-03,9.595788,19.71094,1.684668E-02,0.8086523,2.82383,54.43539,9.595788,20.19922,
31520.27,2.461133E-02,1.044411,3.494141,67.41209,24.77748,3.897726E-02,9.638247,19.71094,1.670464E-02,0.8069987,2.821315,54.32645,9.595788,20.19922,
31520.55,2.486794E-02,1.040237,3.489155,67.26606,24.75984,2.779248E-02,9.638247,19.71094,1.671664E-02,0.806438,2.817741,54.22935,9.595788,20.19922,
31520.86,2.443785E-02,1.038851,3.479946,67.21335,24.77835,3.195651E-02,9.638247,19.71094,1.650257E-02,0.8047673,2.813184,54.13759,9.595788,20.19922,
31521.16,2.377645E-02,1.041223,3.489974,67.23063,24.72855,3.510374E-02,9.638247,19.71094,1.629851E-02,0.8040463,2.806113,53.97714,9.595788,20.19922,
31521.45,2.459507E-02,1.041753,3.490017,67.41209,24.77539,4.372232E-02,9.638247,19.71094,0.0162805,0.8025816,2.80282,53.91912,9.595788,20.19922,
31521.75,2.420112E-02,1.038653,3.482403,67.04313,24.83357,3.607212E-02,9.638247,19.71094,1.624849E-02,0.8012199,2.800076,53.88715,9.595788,20.19922,
31522.05,2.428967E-02,1.039612,3.473406,67.06991,24.77594,3.113339E-02,9.595788,19.71094,1.672865E-02,0.8014086,2.797766,53.8019,9.595788,20.19922,
31522.34,2.381801E-02,1.032209,3.460849,66.69058,24.76015,4.556224E-02,9.638247,19.71094,1.634852E-02,0.7996864,2.793643,53.79183,9.595788,20.19922,
31522.66,2.403306E-02,1.028545,3.444082,66.51776,24.75754,5.200196E-02,9.638247,19.71094,1.641655E-02,0.79805,2.789188,53.70066,9.595788,20.19922,
31522.96,1.744252E-02,0.7684249,2.67453,53.34053,24.75604,8.090807E-02,9.595788,19.71094,1.616246E-02,0.7973062,2.78624,53.64382,9.595788,20.19922,
31523.26,1.258862E-02,0.5451875,2.006154,42.22932,24.75175,8.187645E-02,9.638247,19.71094,1.613045E-02,0.7966197,2.781658,53.47154,9.595788,20.19922,
31523.57,1.323375E-02,0.5769184,2.048783,42.30708,24.78196,6.754445E-02,9.638247,19.71094,1.655059E-02,0.7944969,2.777024,53.45555,9.595788,20.19922,
31523.86,1.315605E-02,0.5765513,2.105014,44.13202,24.73758,4.483595E-02,9.638247,19.71094,1.612245E-02,0.7935414,2.77405,53.30872,9.595788,20.19922,
31524.14,1.317412E-02,0.5550439,1.993964,41.79036,24.76612,7.112744E-02,9.638247,19.71094,1.636853E-02,0.7929292,2.769443,53.23886,9.595788,20.19922,
31524.43,1.319942E-02,0.5432571,1.932803,40.2402,24.7814,6.943278E-02,9.638247,19.71094,1.576834E-02,0.7914873,2.765792,53.15834,9.595788,20.19922,
31524.73,1.219828E-02,0.5413741,1.981732,41.8664,24.7409,8.400688E-02,9.638247,19.71094,1.567231E-02,0.7900512,2.762371,53.06421,9.595788,20.19922,
31525.02,1.307292E-02,0.5477162,1.982438,41.62532,24.76316,0.103084,9.638247,19.71094,1.616847E-02,0.7901313,2.759602,53.04763,9.595788,20.19922,
31525.32,1.282715E-02,0.5459489,2.013117,42.93527,24.77989,9.281914E-02,9.638247,19.71094,1.585237E-02,0.7886952,2.757202,53.05296,9.595788,20.19922,
31525.61,1.276391E-02,0.5383628,1.95125,40.9738,24.75597,7.374207E-02,9.595788,19.71094,1.600641E-02,0.7875508,2.755185,52.96475,9.595788,20.19922,
31525.9,1.296449E-02,0.5454118,1.98878,41.97182,24.73303,5.132409E-02,9.638247,19.71094,1.567231E-02,0.7869043,2.750973,52.86824,9.595788,20.19922,
31526.2,1.246754E-02,0.550007,2.024191,43.01304,24.73672,5.064623E-02,9.595788,19.71094,1.625449E-02,0.7865667,2.747182,52.82206,9.595788,20.19922,
31526.51,1.243501E-02,0.5398311,1.97361,41.60631,24.78676,8.594365E-02,9.638247,19.71094,1.624249E-02,0.7848158,2.747118,52.81851,9.595788,20.19922,
31526.81,1.263018E-02,0.5401574,1.956533,41.04812,24.76755,7.412942E-02,9.638247,19.71094,1.571832E-02,0.7845298,2.746468,52.83331,9.595788,20.19922,
31527.1,1.284703E-02,0.5409799,1.999995,42.52829,24.79241,0.1133004,9.638247,19.71094,1.579835E-02,0.7839633,2.742626,52.66221,9.595788,20.19922,
31527.39,1.247296E-02,0.5352427,1.978653,42.19735,24.80297,7.475886E-02,9.638247,19.71094,1.651058E-02,0.782613,2.739333,52.72379,9.595788,20.19922,
31527.67,1.181698E-02,0.5104794,1.849255,38.79028,24.81399,0.1040523,9.638247,19.71094,1.571232E-02,0.7824585,2.738209,52.57163,9.595788,20.19922,
31527.96,1.228502E-02,0.5291794,1.95618,41.60977,24.78524,5.558496E-02,9.638247,19.71094,1.601642E-02,0.7828361,2.737405,52.53848,9.595788,20.19922,
31528.26,1.268801E-02,0.5379618,2.00727,42.8791,24.79353,7.224108E-02,9.638247,19.71094,1.613846E-02,0.7813771,2.736039,52.58998,9.595788,20.19922,
31528.57,1.206455E-02,0.5167195,1.917534,40.99109,24.76023,7.819661E-02,9.638247,19.71094,1.570232E-02,0.7814687,2.733002,52.53255,9.595788,20.19922,
31528.87,1.163265E-02,0.5126886,1.883818,39.96715,24.78602,5.640808E-02,9.638247,19.71094,1.537421E-02,0.7801413,2.730781,52.50769,9.595788,20.19922,
31529.16,1.222177E-02,0.5273101,1.944174,41.50003,24.75904,9.901676E-02,9.638247,19.71094,0.0162805,0.7794203,2.730283,52.45145,9.595788,20.19922,
31529.45,1.237899E-02,0.534631,1.993145,42.52829,24.77048,6.706025E-02,9.638247,19.71094,1.624249E-02,0.7800555,2.726492,52.39165,9.595788,20.19922,
31529.75,1.220189E-02,0.5269838,1.980786,42.67691,24.78016,0.0789229,9.638247,19.71094,1.609044E-02,0.7791629,2.72565,52.42066,9.595788,20.19922,
31530.05,1.201757E-02,0.5223207,1.935897,41.1302,24.71795,8.100491E-02,9.638247,19.71094,1.599441E-02,0.7783905,2.723237,52.37093,9.595788,20.19922,
31530.34,1.285065E-02,0.5334414,1.947154,40.8753,24.7441,6.604345E-02,9.638247,19.71094,1.563229E-02,0.7777382,2.721042,52.34251,9.595788,20.19922,
31530.64,1.262476E-02,0.5337541,1.933029,40.57374,24.79447,5.960373E-02,9.638247,19.71094,1.523217E-02,0.777555,2.719536,52.28627,9.595788,20.19922,
31530.95,1.231032E-02,0.5322179,1.974994,41.90788,24.77241,8.758989E-02,9.638247,19.71094,1.559028E-02,0.7761876,2.718502,52.2466,9.595788,20.19922,
31531.24,1.201034E-02,0.5283093,1.958793,41.58903,24.76836,7.500096E-02,9.638247,19.71094,1.551826E-02,0.7759473,2.716511,52.2016,9.595788,20.19922,
31531.54,0.0120266,0.5053473,1.860795,39.28194,24.75608,8.095649E-02,9.638247,19.71094,1.552826E-02,0.7761247,2.714277,52.18621,9.595788,20.19922,
31531.84,0.0115676,0.4975913,1.831203,38.59845,24.78584,7.412942E-02,9.595788,19.71094,0.0156363,0.7755983,2.715796,52.16549,9.595788,20.19922,
31532.12,1.122244E-02,0.5104386,1.924625,41.20452,24.80584,8.671835E-02,9.638247,19.71094,1.567831E-02,0.7747629,2.712197,52.1945,9.595788,20.19922,
